province,month,rainfall_7day,rainfall_30day,river_discharge,population,elevation_factor,historical_floods,ndma_fatality_weight,flood_risk_score
KPK,2,27.76,61.52,5638.31,33967663,0.6,6,0.35,34.94
Sindh,8,140.06,369.9,23287.14,45501944,0.2,8,0.475,100.0
Balochistan,4,17.14,41.61,3978.24,13189448,0.5,5,0.3,42.71
Gilgit-Baltistan,7,80.96,253.44,7217.23,1925826,0.9,3,0.2,77.43
Khyber Pakhtunkhwa,7,278.58,1244.63,27805.34,37589901,0.6,6,0.35,100.0
Sindh,1,32.47,79.16,5534.04,44347126,0.2,8,0.475,50.83
KPK,11,33.67,72.9,5187.69,33703107,0.6,6,0.35,47.59
Sindh,8,128.76,403.52,15617.5,51788226,0.2,8,0.475,100.0
Khyber Pakhtunkhwa,2,18.24,47.88,3092.99,37067340,0.6,6,0.35,37.51
Gilgit-Baltistan,9,15.84,48.88,1660.45,1947429,0.9,3,0.2,14.75
Azad Kashmir,8,155.12,590.64,10230.62,3855081,0.7,4,0.275,100.0
KPK,12,30.48,73.62,4003.89,33615263,0.6,6,0.35,43.64
Punjab,10,4.75,12.82,2154.81,109597011,0.3,7,0.425,36.01
Sindh,2,17.59,40.21,5225.0,50910140,0.2,8,0.475,48.88
Punjab,3,22.38,63.86,6124.79,114337075,0.3,7,0.425,51.35
Khyber Pakhtunkhwa,6,16.24,34.55,4111.25,36873323,0.6,6,0.35,31.58
Punjab,12,20.45,63.77,6581.02,112086821,0.3,7,0.425,47.52
Balochistan,9,6.99,18.52,2462.38,11741675,0.5,5,0.3,33.02
Khyber Pakhtunkhwa,2,9.68,23.13,3005.94,36584092,0.6,6,0.35,27.85
Azad Kashmir,4,44.02,92.93,3153.26,3974986,0.7,4,0.275,31.22
Gilgit-Baltistan,1,74.11,161.08,3503.32,1891570,0.9,3,0.2,46.63
Sindh,3,16.12,42.55,3706.28,49806277,0.2,8,0.475,40.11
Balochistan,3,20.35,67.24,2538.54,13224678,0.5,5,0.3,32.99
Gilgit-Baltistan,4,7.03,23.4,1889.0,1861100,0.9,3,0.2,13.41
Balochistan,10,33.49,82.51,4773.29,13240242,0.5,5,0.3,37.27
Khyber Pakhtunkhwa,5,8.11,22.38,3250.71,37530603,0.6,6,0.35,26.36
Punjab,6,12.16,32.35,3323.55,114033937,0.3,7,0.425,34.14
Sindh,4,44.43,153.04,6608.3,45551769,0.2,8,0.475,66.33
Khyber Pakhtunkhwa,2,33.7,114.0,3760.42,38028524,0.6,6,0.35,43.47
Khyber Pakhtunkhwa,1,36.85,118.19,6569.85,38519841,0.6,6,0.35,51.54
Azad Kashmir,6,15.89,32.65,3357.37,4073159,0.7,4,0.275,24.29
Punjab,7,180.48,726.75,24101.85,117955917,0.3,7,0.425,100.0
Khyber Pakhtunkhwa,5,12.48,42.13,2445.98,34984647,0.6,6,0.35,28.88
Azad Kashmir,4,18.85,47.61,2560.07,4061919,0.7,4,0.275,28.84
Sindh,10,14.77,49.4,5859.14,44980657,0.2,8,0.475,50.87
Gilgit-Baltistan,1,23.77,67.15,2797.48,1865729,0.9,3,0.2,21.78
Azad Kashmir,8,164.97,696.86,14614.56,4332553,0.7,4,0.275,100.0
Punjab,9,242.84,923.75,32101.14,116389135,0.3,7,0.425,100.0
Gilgit-Baltistan,6,160.58,434.85,9856.66,1827451,0.9,3,0.2,100.0
Azad Kashmir,8,285.24,1050.84,24655.53,3995124,0.7,4,0.275,100.0
Punjab,7,156.67,544.81,15198.55,103197031,0.3,7,0.425,100.0
Sindh,1,14.76,32.5,3185.03,44573879,0.2,8,0.475,46.1
Sindh,6,21.78,44.18,5942.83,46792637,0.2,8,0.475,51.25
Balochistan,1,10.83,35.03,2593.72,13492326,0.5,5,0.3,31.04
Gilgit-Baltistan,10,24.83,82.46,3422.74,1736838,0.9,3,0.2,29.97
Sindh,6,11.26,22.51,5088.49,46273434,0.2,8,0.475,47.14
Sindh,3,45.52,101.07,10688.06,50099628,0.2,8,0.475,68.23
KPK,12,22.52,46.44,4874.57,35867103,0.6,6,0.35,45.91
Azad Kashmir,8,273.71,1061.38,29780.04,4159503,0.7,4,0.275,100.0
Punjab,4,9.53,23.2,4014.66,103090946,0.3,7,0.425,35.81
Balochistan,12,14.47,29.9,3385.07,11245700,0.5,5,0.3,30.18
Khyber Pakhtunkhwa,6,23.65,59.94,4749.6,37127572,0.6,6,0.35,39.18
Punjab,9,151.54,504.56,19354.66,109277830,0.3,7,0.425,100.0
Punjab,6,18.11,45.71,5209.14,110821870,0.3,7,0.425,45.41
Khyber Pakhtunkhwa,9,57.51,127.16,5388.89,36489675,0.6,6,0.35,53.57
Sindh,3,16.94,56.26,5555.49,51355779,0.2,8,0.475,49.15
Khyber Pakhtunkhwa,1,17.03,41.99,4575.08,33160075,0.6,6,0.35,37.7
Balochistan,8,259.63,814.93,23982.23,11260141,0.5,5,0.3,100.0
Sindh,7,138.96,503.56,20655.84,47506420,0.2,8,0.475,100.0
Azad Kashmir,4,25.98,71.03,4289.27,3679002,0.7,4,0.275,29.73
Khyber Pakhtunkhwa,12,27.02,73.01,5789.1,37393554,0.6,6,0.35,41.82
Azad Kashmir,10,9.99,30.49,1702.34,4365699,0.7,4,0.275,19.55
KPK,6,14.19,46.64,3674.25,34866036,0.6,6,0.35,34.3
Khyber Pakhtunkhwa,1,26.5,81.02,4100.83,36037195,0.6,6,0.35,43.6
Azad Kashmir,11,13.71,30.49,3222.14,4306491,0.7,4,0.275,22.44
Azad Kashmir,7,143.39,552.44,10298.29,4010570,0.7,4,0.275,100.0
KPK,10,25.98,63.63,3810.24,37627125,0.6,6,0.35,41.75
Punjab,2,43.71,142.15,6975.38,109010717,0.3,7,0.425,62.84
Punjab,9,275.66,1070.77,36000.0,110843245,0.3,7,0.425,100.0
Khyber Pakhtunkhwa,8,91.92,255.45,10915.2,37188627,0.6,6,0.35,93.29
Khyber Pakhtunkhwa,1,8.92,20.86,3025.93,36889791,0.6,6,0.35,24.46
Punjab,10,18.93,50.17,4694.9,118642273,0.3,7,0.425,42.85
Khyber Pakhtunkhwa,8,243.36,882.81,26689.05,37091090,0.6,6,0.35,100.0
Azad Kashmir,11,18.71,48.03,3634.8,4366886,0.7,4,0.275,31.67
Balochistan,4,26.78,66.59,4109.6,12395846,0.5,5,0.3,39.0
Punjab,5,21.75,69.14,5012.83,99826603,0.3,7,0.425,53.98
Punjab,4,37.35,98.33,8193.71,114319611,0.3,7,0.425,66.16
Punjab,7,164.92,425.58,24544.24,112368906,0.3,7,0.425,100.0
KPK,10,24.17,83.22,5390.61,38161661,0.6,6,0.35,39.65
Khyber Pakhtunkhwa,8,162.17,660.03,18441.6,35446116,0.6,6,0.35,100.0
Gilgit-Baltistan,1,26.09,75.55,3352.74,1951335,0.9,3,0.2,35.59
Gilgit-Baltistan,9,32.92,66.37,3270.07,1658375,0.9,3,0.2,31.59
KPK,8,186.94,580.88,24811.68,36163969,0.6,6,0.35,100.0
KPK,10,10.32,31.17,2960.08,37106203,0.6,6,0.35,23.91
Sindh,4,13.15,27.93,5434.25,49164152,0.2,8,0.475,56.33
Azad Kashmir,9,19.04,43.32,2009.44,3875808,0.7,4,0.275,23.43
Gilgit-Baltistan,12,19.82,49.96,2432.41,1635442,0.9,3,0.2,16.99
Khyber Pakhtunkhwa,3,50.61,133.44,5080.15,37851086,0.6,6,0.35,47.64
Balochistan,6,32.84,112.8,5799.83,11486888,0.5,5,0.3,46.1
Gilgit-Baltistan,11,15.44,33.54,2309.04,1897210,0.9,3,0.2,21.47
Gilgit-Baltistan,8,21.88,54.93,2047.73,1946143,0.9,3,0.2,25.19
Khyber Pakhtunkhwa,6,30.52,84.63,5562.6,32500473,0.6,6,0.35,49.46
Punjab,5,14.87,30.04,3897.84,100614448,0.3,7,0.425,38.17
Khyber Pakhtunkhwa,9,18.96,44.14,2720.0,37031283,0.6,6,0.35,28.03
Balochistan,9,17.11,53.43,4130.6,11192427,0.5,5,0.3,42.0
Khyber Pakhtunkhwa,9,20.88,72.77,3733.85,37934989,0.6,6,0.35,38.05
Gilgit-Baltistan,9,14.99,33.45,2513.93,1957801,0.9,3,0.2,18.34
Balochistan,6,12.9,34.05,2890.44,12502609,0.5,5,0.3,34.95
KPK,6,29.69,87.9,5815.01,36480577,0.6,6,0.35,49.47
Sindh,2,35.17,104.83,6278.27,47640639,0.2,8,0.475,54.12
Azad Kashmir,6,28.24,63.85,3746.37,4329759,0.7,4,0.275,25.95
Punjab,9,140.86,502.39,21529.57,99915271,0.3,7,0.425,100.0
Balochistan,8,158.62,443.86,18631.7,13257642,0.5,5,0.3,100.0
Sindh,6,43.44,109.15,7731.85,44483294,0.2,8,0.475,62.96
Azad Kashmir,1,10.46,28.19,2327.14,4223469,0.7,4,0.275,22.47
Sindh,3,21.49,69.39,5959.21,47753822,0.2,8,0.475,53.99
KPK,2,12.8,31.4,4097.49,32071751,0.6,6,0.35,30.31
Sindh,11,32.09,92.04,7032.37,43194520,0.2,8,0.475,48.98
Khyber Pakhtunkhwa,2,9.42,32.65,2217.96,38327369,0.6,6,0.35,30.36
Balochistan,3,11.18,31.01,2440.31,11750608,0.5,5,0.3,22.91
Balochistan,1,14.16,35.01,2959.89,11675743,0.5,5,0.3,28.69
Azad Kashmir,2,5.18,12.45,1906.97,4305790,0.7,4,0.275,18.04
Gilgit-Baltistan,8,18.9,46.28,2843.68,1661540,0.9,3,0.2,30.49
Azad Kashmir,12,41.18,95.78,5906.14,4273340,0.7,4,0.275,44.47
Sindh,3,26.27,58.29,6171.65,49324755,0.2,8,0.475,46.45
Azad Kashmir,2,39.59,89.31,2996.07,3748459,0.7,4,0.275,35.99
Punjab,4,26.79,82.38,4213.76,116366351,0.3,7,0.425,46.02
Azad Kashmir,7,241.68,1005.12,17151.51,4245743,0.7,4,0.275,100.0
Khyber Pakhtunkhwa,5,10.07,29.86,4156.78,32035265,0.6,6,0.35,32.0
Gilgit-Baltistan,9,31.85,86.23,2430.76,1640170,0.9,3,0.2,27.51
Gilgit-Baltistan,11,22.1,48.66,2975.14,1942027,0.9,3,0.2,21.85
Punjab,8,234.51,704.04,36000.0,117755233,0.3,7,0.425,100.0
Gilgit-Baltistan,9,37.49,82.03,2349.36,1863625,0.9,3,0.2,28.01
Azad Kashmir,7,239.38,803.1,14658.88,3946981,0.7,4,0.275,100.0
Balochistan,7,122.04,378.66,8979.66,11416415,0.5,5,0.3,100.0
Balochistan,10,32.27,109.36,4104.2,12198472,0.5,5,0.3,42.68
Azad Kashmir,2,25.03,77.79,3004.95,3613514,0.7,4,0.275,36.41
Khyber Pakhtunkhwa,4,14.34,40.25,2531.19,38525177,0.6,6,0.35,38.95
Khyber Pakhtunkhwa,9,36.04,117.34,4831.27,33275455,0.6,6,0.35,39.92
Azad Kashmir,10,12.25,42.33,2229.32,3988627,0.7,4,0.275,27.12
Khyber Pakhtunkhwa,7,192.8,621.87,13828.67,35656876,0.6,6,0.35,100.0
KPK,9,14.73,44.77,3874.26,37656660,0.6,6,0.35,28.52
Sindh,2,43.71,115.91,7764.15,50392769,0.2,8,0.475,66.08
Khyber Pakhtunkhwa,2,8.06,23.14,3517.6,37534952,0.6,6,0.35,28.32
Balochistan,5,29.23,89.29,3800.31,13265987,0.5,5,0.3,34.04
Khyber Pakhtunkhwa,6,17.45,40.48,3409.14,34208343,0.6,6,0.35,36.11
Balochistan,10,12.66,29.01,2644.56,12015474,0.5,5,0.3,36.53
Khyber Pakhtunkhwa,7,228.47,884.72,17507.43,37763713,0.6,6,0.35,100.0
Sindh,5,18.62,49.45,3740.94,52178799,0.2,8,0.475,55.25
Azad Kashmir,9,20.34,46.42,2728.28,3916897,0.7,4,0.275,29.17
Balochistan,8,84.67,246.41,9705.11,13059961,0.5,5,0.3,89.48
Sindh,4,31.99,77.93,8603.71,46231503,0.2,8,0.475,56.67
KPK,1,15.75,48.94,4667.07,38489309,0.6,6,0.35,42.19
Azad Kashmir,4,17.2,45.55,2195.12,4002025,0.7,4,0.275,26.04
Gilgit-Baltistan,2,28.14,85.3,2479.71,1706799,0.9,3,0.2,28.51
Azad Kashmir,1,60.65,124.8,5368.06,4138791,0.7,4,0.275,50.13
Balochistan,6,29.64,76.55,4116.03,12961087,0.5,5,0.3,41.21
Azad Kashmir,3,17.44,43.57,2743.16,4082275,0.7,4,0.275,24.56
Sindh,7,68.34,247.23,12506.16,45076141,0.2,8,0.475,100.0
Gilgit-Baltistan,9,21.04,53.89,2707.53,1782981,0.9,3,0.2,27.16
Khyber Pakhtunkhwa,5,22.12,62.46,3350.11,35832754,0.6,6,0.35,39.57
Balochistan,11,14.23,31.73,3609.38,11557014,0.5,5,0.3,33.08
KPK,4,41.9,125.99,7907.38,37414422,0.6,6,0.35,54.51
Khyber Pakhtunkhwa,3,37.49,114.24,5181.5,33236933,0.6,6,0.35,48.97
Punjab,2,18.49,54.9,3884.81,119160032,0.3,7,0.425,39.1
Balochistan,11,37.62,124.25,4678.45,12385262,0.5,5,0.3,47.27
Khyber Pakhtunkhwa,3,26.91,59.62,4283.07,34471172,0.6,6,0.35,35.27
Azad Kashmir,6,30.48,82.53,4482.32,3712031,0.7,4,0.275,39.49
Khyber Pakhtunkhwa,7,121.38,325.81,10690.13,32660128,0.6,6,0.35,99.82
Punjab,1,19.41,45.39,5027.51,99616117,0.3,7,0.425,47.2
Azad Kashmir,10,9.23,23.89,2633.71,3975911,0.7,4,0.275,24.88
KPK,4,23.05,65.8,4587.76,34545254,0.6,6,0.35,33.8
Gilgit-Baltistan,6,186.55,822.94,15734.89,1923792,0.9,3,0.2,100.0
Gilgit-Baltistan,11,25.75,56.45,2439.02,1820930,0.9,3,0.2,22.44
Khyber Pakhtunkhwa,6,16.98,57.44,3626.43,38085222,0.6,6,0.35,31.93
Punjab,5,7.38,19.65,3129.96,103912931,0.3,7,0.425,34.39
KPK,2,40.01,138.03,5521.33,36572336,0.6,6,0.35,52.97
Gilgit-Baltistan,5,14.33,31.12,1446.54,1952115,0.9,3,0.2,13.99
Khyber Pakhtunkhwa,8,217.71,636.13,22077.18,36781939,0.6,6,0.35,100.0
Sindh,1,9.75,27.25,4037.57,47834813,0.2,8,0.475,45.63
Punjab,3,19.87,42.98,5448.16,105713483,0.3,7,0.425,41.81
Azad Kashmir,10,13.47,28.53,1938.72,3740686,0.7,4,0.275,28.85
Khyber Pakhtunkhwa,7,143.86,506.62,13152.21,35867653,0.6,6,0.35,100.0
Azad Kashmir,5,15.18,39.0,3359.66,4330286,0.7,4,0.275,27.4
KPK,7,333.96,963.12,32205.08,34798625,0.6,6,0.35,100.0
Sindh,7,166.28,593.78,31143.96,43667087,0.2,8,0.475,100.0
Balochistan,8,144.14,544.57,13403.5,13459941,0.5,5,0.3,100.0
Punjab,8,83.25,272.89,16351.59,120483158,0.3,7,0.425,100.0
Khyber Pakhtunkhwa,10,44.05,116.02,4315.8,37698848,0.6,6,0.35,44.44
Sindh,11,13.05,44.18,5580.51,44841833,0.2,8,0.475,49.36
Sindh,10,41.99,113.34,8771.88,45964432,0.2,8,0.475,72.69
Gilgit-Baltistan,6,211.68,933.19,18210.41,1703975,0.9,3,0.2,100.0
Gilgit-Baltistan,1,54.93,186.99,5277.59,1951308,0.9,3,0.2,40.69
Khyber Pakhtunkhwa,1,52.47,161.33,9415.55,34424391,0.6,6,0.35,65.42
Gilgit-Baltistan,6,259.05,1114.13,13796.62,1845178,0.9,3,0.2,100.0
Azad Kashmir,11,18.93,56.44,2221.19,4082881,0.7,4,0.275,28.54
Punjab,10,20.74,65.04,5317.96,116220185,0.3,7,0.425,46.55
KPK,10,19.14,66.29,4028.99,32359263,0.6,6,0.35,31.04
Sindh,5,51.74,106.06,7363.87,47609231,0.2,8,0.475,69.01
KPK,7,90.18,355.28,13967.05,34754787,0.6,6,0.35,100.0
Punjab,3,16.6,36.63,4850.12,120541882,0.3,7,0.425,52.8
Gilgit-Baltistan,1,27.87,75.72,2983.08,1825900,0.9,3,0.2,22.02
Sindh,8,116.47,473.43,14819.28,47646645,0.2,8,0.475,100.0
Gilgit-Baltistan,5,25.32,82.16,2103.6,1939999,0.9,3,0.2,22.95
KPK,9,33.68,103.57,3667.26,34601994,0.6,6,0.35,47.78
Balochistan,1,9.81,23.84,2145.35,12051437,0.5,5,0.3,28.22
Sindh,3,39.23,89.98,9621.82,45510472,0.2,8,0.475,74.71
Azad Kashmir,10,16.59,34.42,2901.3,3616599,0.7,4,0.275,22.51
Khyber Pakhtunkhwa,3,15.71,39.0,4000.73,33482651,0.6,6,0.35,30.56
Balochistan,7,141.03,596.42,12540.96,12583025,0.5,5,0.3,100.0
Khyber Pakhtunkhwa,6,37.68,120.43,3966.28,36924670,0.6,6,0.35,46.42
Sindh,4,34.45,70.69,6009.61,52300372,0.2,8,0.475,63.44
Khyber Pakhtunkhwa,10,15.8,52.78,3050.05,33296498,0.6,6,0.35,33.8
Azad Kashmir,10,21.52,72.38,4000.54,4200477,0.7,4,0.275,35.63
Punjab,7,279.29,1012.9,25957.3,113359915,0.3,7,0.425,100.0
Punjab,6,20.65,62.14,4946.9,100964183,0.3,7,0.425,46.24
Punjab,9,195.89,766.16,24366.72,115535877,0.3,7,0.425,100.0
Gilgit-Baltistan,7,111.83,374.88,9294.89,1704542,0.9,3,0.2,91.61
Gilgit-Baltistan,3,35.3,82.85,3083.67,1903245,0.9,3,0.2,30.3
Gilgit-Baltistan,8,11.12,33.76,1880.89,1723883,0.9,3,0.2,14.92
Azad Kashmir,4,33.82,107.72,3464.39,3913798,0.7,4,0.275,40.29
Azad Kashmir,3,5.65,15.92,2727.91,4393438,0.7,4,0.275,22.97
Punjab,8,170.89,656.48,25934.24,104361776,0.3,7,0.425,100.0
Punjab,8,176.01,590.44,27379.72,109348967,0.3,7,0.425,100.0
Sindh,4,28.12,77.11,5054.66,52008232,0.2,8,0.475,55.26
KPK,10,8.26,27.33,3132.48,38186182,0.6,6,0.35,30.86
Khyber Pakhtunkhwa,2,11.51,38.76,3085.37,36450494,0.6,6,0.35,31.25
Balochistan,6,14.5,29.28,3107.57,11231042,0.5,5,0.3,32.75
Gilgit-Baltistan,9,13.84,41.32,1935.61,1909425,0.9,3,0.2,18.38
Khyber Pakhtunkhwa,10,52.35,142.15,9076.13,37044062,0.6,6,0.35,63.85
Sindh,2,20.58,54.38,5562.61,45730937,0.2,8,0.475,52.79
Punjab,2,41.3,103.46,7594.55,109964171,0.3,7,0.425,60.79
Balochistan,12,7.27,21.45,1910.85,12066087,0.5,5,0.3,25.62
Azad Kashmir,12,28.87,98.41,4726.55,4256500,0.7,4,0.275,38.04
Khyber Pakhtunkhwa,5,33.71,80.16,4716.83,38930452,0.6,6,0.35,40.2
Balochistan,1,10.5,26.95,3021.11,13081282,0.5,5,0.3,26.31
Gilgit-Baltistan,2,13.29,34.6,2117.89,1809715,0.9,3,0.2,28.2
Balochistan,8,187.84,691.41,13864.78,13495077,0.5,5,0.3,100.0
Azad Kashmir,11,17.06,54.19,2530.03,4122833,0.7,4,0.275,24.5
Punjab,11,49.22,99.31,7527.12,114345481,0.3,7,0.425,68.27
Sindh,10,10.55,29.8,3076.29,52145502,0.2,8,0.475,34.42
Balochistan,12,13.41,28.25,3338.19,11245281,0.5,5,0.3,36.8
Azad Kashmir,11,18.92,44.02,3504.22,4227435,0.7,4,0.275,27.83
Azad Kashmir,11,58.22,181.99,7795.09,3878945,0.7,4,0.275,55.65
Gilgit-Baltistan,10,51.85,115.08,4564.1,1773223,0.9,3,0.2,40.43
Azad Kashmir,8,167.5,741.28,12217.6,4388618,0.7,4,0.275,100.0
KPK,4,31.55,104.95,5796.87,36911745,0.6,6,0.35,46.26
Gilgit-Baltistan,7,321.27,856.79,20610.63,1637213,0.9,3,0.2,100.0
Sindh,8,131.87,578.27,22349.29,44190023,0.2,8,0.475,100.0
Punjab,10,12.33,39.26,3651.04,104634356,0.3,7,0.425,46.0
Azad Kashmir,8,104.89,308.52,9957.86,4296287,0.7,4,0.275,96.63
Gilgit-Baltistan,3,34.71,78.69,3310.74,1629853,0.9,3,0.2,24.73
Azad Kashmir,12,27.95,83.74,4746.92,4181247,0.7,4,0.275,30.97
Azad Kashmir,2,25.87,65.88,3848.67,4289342,0.7,4,0.275,33.18
Azad Kashmir,5,30.48,69.28,2916.87,4290240,0.7,4,0.275,34.67
KPK,1,33.0,83.2,5006.28,37291113,0.6,6,0.35,39.54
Khyber Pakhtunkhwa,4,16.49,40.37,2513.09,32181472,0.6,6,0.35,25.07
Sindh,1,66.14,157.32,9921.32,44439320,0.2,8,0.475,84.49
Punjab,5,25.32,80.91,4059.9,103010893,0.3,7,0.425,45.45
KPK,12,21.59,71.46,4144.17,33108876,0.6,6,0.35,38.23
Gilgit-Baltistan,10,11.85,34.87,2360.19,1907054,0.9,3,0.2,12.54
Azad Kashmir,12,12.78,33.55,1974.22,3730764,0.7,4,0.275,20.21
Balochistan,7,344.96,1300.0,30038.23,11376124,0.5,5,0.3,100.0
KPK,8,108.21,405.96,12957.54,32964080,0.6,6,0.35,100.0
Balochistan,1,18.03,48.54,2235.41,11906013,0.5,5,0.3,33.26
Azad Kashmir,6,15.05,30.95,2319.69,3930949,0.7,4,0.275,25.07
Balochistan,5,15.16,33.4,2487.38,13464827,0.5,5,0.3,29.64
Balochistan,4,51.12,128.08,4207.48,11763022,0.5,5,0.3,49.88
Punjab,6,23.57,50.11,4064.15,100775912,0.3,7,0.425,41.57
KPK,12,18.64,43.47,3636.53,37404380,0.6,6,0.35,36.54
Sindh,12,33.11,85.44,4766.84,46967878,0.2,8,0.475,46.92
Punjab,5,14.59,47.77,3931.3,104285402,0.3,7,0.425,37.02
Balochistan,1,21.66,66.57,3663.26,12350675,0.5,5,0.3,42.6
Sindh,5,14.24,40.72,5424.21,50247868,0.2,8,0.475,50.69
Khyber Pakhtunkhwa,4,12.27,33.23,2329.41,35656543,0.6,6,0.35,29.05
KPK,1,44.56,116.69,5034.86,37860836,0.6,6,0.35,52.25
Gilgit-Baltistan,6,313.1,1289.34,19973.67,1872971,0.9,3,0.2,100.0
Gilgit-Baltistan,11,22.96,75.73,2371.24,1890112,0.9,3,0.2,22.72
Sindh,2,35.78,77.44,8853.22,43449798,0.2,8,0.475,63.33
Gilgit-Baltistan,5,35.15,100.2,3614.03,1892730,0.9,3,0.2,26.2
Gilgit-Baltistan,9,44.03,111.44,4581.01,1776420,0.9,3,0.2,39.61
KPK,12,10.24,21.3,3424.22,32475321,0.6,6,0.35,29.87
Gilgit-Baltistan,7,67.76,253.52,6441.73,1746501,0.9,3,0.2,72.33
Khyber Pakhtunkhwa,8,152.79,684.73,21945.98,37892269,0.6,6,0.35,100.0
Balochistan,2,21.48,62.13,4010.81,12036625,0.5,5,0.3,40.53
KPK,11,20.36,66.76,4539.35,32267883,0.6,6,0.35,40.42
Azad Kashmir,1,31.74,100.55,4678.93,4160589,0.7,4,0.275,35.4
Punjab,7,173.43,565.05,29096.84,104487927,0.3,7,0.425,100.0
Sindh,12,20.02,56.16,6219.52,45094798,0.2,8,0.475,54.01
Azad Kashmir,10,10.62,23.01,2722.5,3844927,0.7,4,0.275,29.12
Punjab,8,184.64,625.76,16354.6,101928233,0.3,7,0.425,100.0
Punjab,9,148.38,426.24,24378.34,114525128,0.3,7,0.425,100.0
Azad Kashmir,11,19.81,56.07,3441.15,3861456,0.7,4,0.275,30.45
KPK,10,44.66,118.77,6752.82,32307577,0.6,6,0.35,52.05
Balochistan,8,77.53,326.57,11309.14,12176167,0.5,5,0.3,100.0
Gilgit-Baltistan,12,31.83,95.69,3216.99,1821384,0.9,3,0.2,26.25
Sindh,5,17.63,44.47,5347.35,51450657,0.2,8,0.475,50.61
Punjab,8,266.43,720.17,31294.81,108417051,0.3,7,0.425,100.0
KPK,10,20.77,66.6,5158.9,34503420,0.6,6,0.35,42.04
Sindh,9,108.31,466.37,13446.13,50990746,0.2,8,0.475,100.0
Punjab,6,27.79,94.44,5737.64,115157840,0.3,7,0.425,48.09
Punjab,2,10.88,28.94,3560.09,113796478,0.3,7,0.425,42.34
Balochistan,10,9.21,19.13,3373.59,12881930,0.5,5,0.3,23.3
Khyber Pakhtunkhwa,9,22.86,66.28,3387.3,37503577,0.6,6,0.35,42.99
Gilgit-Baltistan,5,22.87,55.06,2759.22,1649783,0.9,3,0.2,28.44
Balochistan,11,28.39,87.24,4686.53,12512504,0.5,5,0.3,45.67
Balochistan,6,18.03,43.06,2832.99,11651167,0.5,5,0.3,29.6
Khyber Pakhtunkhwa,11,10.2,20.39,2347.93,38216589,0.6,6,0.35,32.61
Azad Kashmir,6,29.07,95.69,4804.8,3850407,0.7,4,0.275,35.98
Gilgit-Baltistan,5,11.26,38.56,2253.24,1689123,0.9,3,0.2,18.98
KPK,9,19.82,65.32,4646.05,32112661,0.6,6,0.35,39.23
Khyber Pakhtunkhwa,9,31.97,78.44,6234.7,37382704,0.6,6,0.35,47.28
Gilgit-Baltistan,11,30.23,84.14,2543.79,1625773,0.9,3,0.2,30.1
Balochistan,10,14.4,41.42,2705.28,13144966,0.5,5,0.3,33.03
Azad Kashmir,12,21.4,55.32,3529.97,3803487,0.7,4,0.275,29.88
Gilgit-Baltistan,3,20.85,54.85,1673.25,1692698,0.9,3,0.2,18.26
Sindh,11,11.24,31.36,4405.92,51474865,0.2,8,0.475,40.05
Khyber Pakhtunkhwa,6,36.5,106.77,4321.55,34882685,0.6,6,0.35,32.43
Balochistan,4,10.03,30.6,1807.47,11901700,0.5,5,0.3,29.64
Khyber Pakhtunkhwa,8,127.17,468.11,11396.42,33698053,0.6,6,0.35,100.0
Balochistan,1,12.64,43.4,3455.56,12066931,0.5,5,0.3,21.97
Gilgit-Baltistan,4,17.19,49.81,2070.94,1834905,0.9,3,0.2,24.86
Sindh,12,13.48,45.95,5470.85,51974784,0.2,8,0.475,46.12
Azad Kashmir,4,18.35,45.71,2238.83,3654757,0.7,4,0.275,21.92
Khyber Pakhtunkhwa,11,13.82,28.09,3959.3,32481056,0.6,6,0.35,30.61
Khyber Pakhtunkhwa,3,36.18,81.57,5920.18,33543811,0.6,6,0.35,47.0
KPK,3,18.13,47.16,2736.63,37406350,0.6,6,0.35,33.39
Khyber Pakhtunkhwa,11,43.07,109.0,6827.9,34087004,0.6,6,0.35,49.85
Khyber Pakhtunkhwa,12,19.78,57.88,5213.41,34155999,0.6,6,0.35,42.4
KPK,3,17.08,46.78,3394.86,35293793,0.6,6,0.35,33.18
Balochistan,4,42.56,107.52,4091.22,11356498,0.5,5,0.3,43.67
Punjab,3,30.66,88.09,5001.98,108821795,0.3,7,0.425,45.78
KPK,12,13.72,38.81,4451.88,38490144,0.6,6,0.35,40.33
Punjab,1,19.5,67.49,4881.42,107659109,0.3,7,0.425,41.04
Punjab,9,122.35,395.98,17012.57,117662473,0.3,7,0.425,100.0
Gilgit-Baltistan,7,159.93,708.08,14399.28,1740999,0.9,3,0.2,100.0
Gilgit-Baltistan,12,50.66,159.32,4618.64,1803500,0.9,3,0.2,50.45
Khyber Pakhtunkhwa,2,30.59,104.93,4005.13,33521716,0.6,6,0.35,39.58
Balochistan,9,14.33,34.45,3582.44,11086217,0.5,5,0.3,34.88
Punjab,11,10.22,33.5,4177.8,113073445,0.3,7,0.425,41.99
Khyber Pakhtunkhwa,4,64.78,198.05,7055.25,32360140,0.6,6,0.35,60.57
Punjab,11,6.43,14.68,3269.45,118550709,0.3,7,0.425,26.68
KPK,4,11.34,26.31,3313.16,36901451,0.6,6,0.35,26.72
Balochistan,7,247.76,858.9,23602.55,12279813,0.5,5,0.3,100.0
Khyber Pakhtunkhwa,12,47.45,129.72,4694.53,34758884,0.6,6,0.35,53.77
Punjab,4,26.29,78.15,4816.55,117597372,0.3,7,0.425,44.46
